DS100;Breite;Laenge
KBUN;50.71454;7.11801
ABRD;54.174373;10.043711
EBOR;51.598265;8.032033
EBHS;52.085229;8.266579
EBGO;52.118737;7.397539
EBOK;51.66933;7.456308
FBOK;51.050684;9277
FBO;50.42941;8.975223
FBOS;50.945697;9.993002
EBTB;51.537163;6.967729
SBO;49.275979;6.792639
TBOX;49.485596;9.640048
EBRB;50.821987;7.941492
KBRC;51.007824;6.231463
EBRA.EBRAH;52.069653;8.604914
RBRN;47.931875;8.457104
HBKE;53.328817;8.48135
HBKH;51.712165;9.1832
HBRM;52.410879;7.975007
HBRA;52.871611;8.786024
FBRD;50.431621;8.493816
MBB;47.741354;12.106464
KBRB;50.27414;7.643187
RBTI;49.009462;8.722058
FBFS;50.539915;8.366902
HGLI;52.275721;10.551499
ABRB;54.315112;9.867004
EBDL;51.41917;8.776566
RBTN;49.032596;8.701614
ABST;54.621166;8.970336
RBRS;48.026918;7.58935
RBTS;49.031838;8.718196
MBRN;48.138586;10.408505
NBRE;49.691382;9.225052
NBG;49.96683;10.887135
RBTM;49.033993;8.702809
KBRS;50.748435;7.661486
HBN;53.075782;8.785808
HBB;53.160288;8.704773
HBHM;53.054572;8.886759
HBL;53.170716;8.686152
HBM;53.039762;8.944627
HBON;53.087038;8.938511
HBOS;53.135298;8.740801
HBSC;53.1728;8.649481
HBSB;53.061355;8.887383
HBMG;53.17158;8.669732
HBV;53.169716;8.629968
HBWA;53.103792;8.786241
HBHL;53.566324;8.600657
HBWU;53.508596;8.611934
RBN;47.58092;7.910525
HBRT;52.967127;8.44697
SBRH;49.874587;7.898692
TBZ;49.172741;9.440302
MKRS;48.23542;10.361165
KBRY;51.294615;6.241174
EBRS;51.39906;8.575287
EBRO;52.070117;7.809287
HBRO;53.002117;10.258499
KBRO;50.481429;7.332639
HBST;52.197022;10.320695
ABRS;53.990086;9.823806
RBRM;47.637611;7.695207
TBR;49.715144;9.543516
FBB;50.301965;8.788402
RBRZ;49.110346;8.574507
RBRH;48.923992;8.373975
FBK;50.186189;8.919293
SBUM;49.385343;7.443979
HBUE;52.204598;8.448636
MBR;48.515979;11.997782
MBRM;47.8808225;11.9155312
KBRU;50.489679;6.972391
RBRP;49.135443;8.589941
EBRU;51.20792;7.571086
RBMT;49.141181;8.56327
KBR.KBR P;50.829249;6.912718
SBB;49.411024;6.94821
NBTH;49.629542;11.011994
NBM;49.763284;10.145179
RBUO;49.519152;9.332137
RBUN;49.523529;9.327179
FBNU;50.870544;8.600525
MBAU;48.160277;11.224497
MBHA;48.031255;11.497442
RBU;48.083581;7.915166
KBZ;50.210802;7.554876
FBUS.FBUSS;50.0224771;8.66115063
FBUD;50.026835;8.174062
NBUE;49.267766;11.0741919
FBDH;50.29737;9.066751
HBKB;52.267637;9.047796
FBHM;50.214951;8.8436
FBDW;50.624747;7.895901
FBDG;50.28887;9.102598
RBUE;48.696676;8.129299
FBRG;50.85375;8.817194
ABUS;53.269595;9.858592
ABSM;54.133822;8.867113
KBUT;51.197208;6.605785
RBGG;47.855254;7.628161
KBUH;50.862401;6.574514
EBUD;51.863054;7.370479
SBY;50.05446;7.134584
EBUR;50.748965;8.077808
FBUN;50.699884;8.307686
ABR;54.007967;9.250087
ABUF;54.443591;11.18898
MBGU;48.424797;10.427012
NBUM;49.454322;10.320221
NBUW;49.443294;10.312317
HBGD;52.448708;10.002837
TBUW;47.922765;9.343805
FBUH;50.70055;9.727953
MBUH;48.1742;12.828182
MBGH;48.70105;11.026984
FBGH;50.257793;8.677106
MBGK;48.166908;12.727783
NBK;50.137657;11.242723
NBUR;50.27434;10.184441
NBN;50.150317;9.656067
TBU;48.928647;9.369932
